label,source,dataset,sample_number,filename,filepath,file_size,filename_length,extension_count,has_double_extension,has_uppercase_extension,has_unicode_control_char,special_char_ratio,extension_category,is_executable_extension,is_script_extension,is_macro_document,is_archive_extension,is_unknown_extension,magic_bytes_known,magic_bytes_valid,extension_mime_mismatch,has_content_type,claimed_mime_mismatch,embedded_file_signature_count,byte_entropy,header_entropy,printable_ratio,null_byte_ratio,unique_byte_count,url_count,ip_address_count,base64_candidate_count,suspicious_command_count,execution_api_count,network_api_count,obfuscation_pattern_count,suspicious_string_count,archive_entry_count,executable_entry_count,script_entry_count,archive_depth,compression_ratio,archive_bomb_suspected
0,met,image_anomaly_benign,308,met_62867_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_62867_primary_000.jpg,96948,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,2,7.918367422656134,3.56601079119195,0.39545942154557084,0.008406568469695095,256,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,309,met_633460_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_633460_primary_000.jpg,2482038,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,41,7.981866770628398,4.7933705779953195,0.37695192418488355,0.009368107982230731,256,28,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,310,met_633652_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_633652_primary_000.jpg,5405366,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,95,7.967767005136624,5.136422886124314,0.3857551921553508,0.007175277307771574,256,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,311,met_651966_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_651966_primary_000.jpg,2525303,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,47,7.980843041921691,6.469281362080157,0.3755224620570284,0.009071782673207927,256,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,312,met_657206_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_657206_primary_000.jpg,2355154,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,53,7.979465376258007,4.837323799390518,0.38251596286272577,0.008117940482872883,256,24,0,0,2,0,0,0,2,0,0,0,0,0.0,0
0,met,image_anomaly_benign,313,met_665360_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_665360_primary_000.jpg,2124656,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,29,7.9796656502796175,4.8028127578369455,0.37589190909022446,0.008751063701606283,256,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,314,met_666467_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_666467_primary_000.jpg,740949,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,17,7.829700693198688,6.446289467450733,0.3612232420854877,0.03779342437873592,256,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,315,met_667526_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_667526_primary_000.jpg,1246463,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,10,7.92371693175113,5.205261120731332,0.3774961631432301,0.01560896713340067,256,26,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,316,met_669563_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_669563_primary_000.jpg,1065054,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,8,7.9097197906034244,5.2086802247815545,0.3753377763005444,0.016640470811808604,256,26,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,317,met_669597_additional_001.jpg,data/raw/image_anomaly/benign/met/jpg/met_669597_additional_001.jpg,1239090,29,1,0,0,0,0.13793103448275862,image,0,0,0,0,0,1,1,0,0,0,10,7.905009391997833,5.210751730533947,0.37420284240854174,0.016772792936751973,256,26,0,0,0,0,0,0,0,0,0,0,0,0.0,0
